[APIServer]20:13:18.564589 podListener.go:91: ETCD: modify kye:/registry/pods/default/nginx-3 value:{"Config":{"ApiVersion":"","Kind":"","Metadata":{"Name":"nginx-3","Labels":{"App":"nginx","Env":"prod"},"Namespace":"","Uid":"b30af5d9-fbbe-11ed-b64c-fa163ed44415","CreationTimestamp":"0001-01-01T00:00:00Z"},"Spec":{"Containers":[{"Name":"nginx","Image":"nginx:stable-alpine","Ports":[{"Port":80}],"Command":null,"Args":null,"Resources":{"Limits":{"Cpu":"","Memory":""}},"VolumeMounts":null}],"Volumes":null,"ContainerMeta":null},"IP":""},"Status":1,"Node":"b1c31a32-fbbe-11ed-bd8b-fa163ed44415","Replica":3}
[APIServer]20:13:18.564678 podListener.go:96: publish PUT to pods_XXX
[APIServer]20:13:18.566847 podListener.go:110: publish PUT to pods_node
[APIServer]20:13:19.924397 podListener.go:91: ETCD: modify kye:/registry/pods/default/nginx-1 value:{"Config":{"ApiVersion":"","Kind":"","Metadata":{"Name":"nginx-1","Labels":{"App":"nginx","Env":"prod"},"Namespace":"","Uid":"b3081815-fbbe-11ed-b64c-fa163ed44415","CreationTimestamp":"0001-01-01T00:00:00Z"},"Spec":{"Containers":[{"Name":"nginx","Image":"nginx:stable-alpine","Ports":[{"Port":80}],"Command":null,"Args":null,"Resources":{"Limits":{"Cpu":"","Memory":""}},"VolumeMounts":null}],"Volumes":null,"ContainerMeta":[{"Name":"pause_nginx-1","ContainerID":"7b3fd754eb47fe35ea164ccec6000413d2fd0ae556fbe70588f4ef0d2c0ef2d3"},{"Name":"nginx","ContainerID":"75771fa7e82808cb83518803a241ef7548b4e611cdd0f055402ef9b0c35ed4ad"}]},"IP":"142.16.1.2"},"Status":0,"Node":"b1c31a32-fbbe-11ed-bd8b-fa163ed44415","Replica":1}
[APIServer]20:13:19.924472 podListener.go:96: publish PUT to pods_XXX
[APIServer]20:13:19.932425 podListener.go:110: publish PUT to pods_node
[APIServer]20:13:21.839322 podListener.go:91: ETCD: modify kye:/registry/pods/default/nginx-2 value:{"Config":{"ApiVersion":"","Kind":"","Metadata":{"Name":"nginx-2","Labels":{"App":"nginx","Env":"prod"},"Namespace":"","Uid":"b3092a6f-fbbe-11ed-b64c-fa163ed44415","CreationTimestamp":"0001-01-01T00:00:00Z"},"Spec":{"Containers":[{"Name":"nginx","Image":"nginx:stable-alpine","Ports":[{"Port":80}],"Command":null,"Args":null,"Resources":{"Limits":{"Cpu":"","Memory":""}},"VolumeMounts":null}],"Volumes":null,"ContainerMeta":[{"Name":"pause_nginx-2","ContainerID":"1347c9c816a037bd69f2601a9eb6dd68cc978ee46a4296e8933cd8da657e8d89"},{"Name":"nginx","ContainerID":"3bd003839d2dc88150e74e9a9cc101dc11fae3b55117158a2ef6e28634cc77b9"}]},"IP":"142.16.1.3"},"Status":0,"Node":"b1c31a32-fbbe-11ed-bd8b-fa163ed44415","Replica":2}
[APIServer]20:13:21.839384 podListener.go:96: publish PUT to pods_XXX
[APIServer]20:13:21.842496 podListener.go:110: publish PUT to pods_node
[APIServer]20:13:23.140582 podListener.go:91: ETCD: modify kye:/registry/pods/default/nginx-3 value:{"Config":{"ApiVersion":"","Kind":"","Metadata":{"Name":"nginx-3","Labels":{"App":"nginx","Env":"prod"},"Namespace":"","Uid":"b30af5d9-fbbe-11ed-b64c-fa163ed44415","CreationTimestamp":"0001-01-01T00:00:00Z"},"Spec":{"Containers":[{"Name":"nginx","Image":"nginx:stable-alpine","Ports":[{"Port":80}],"Command":null,"Args":null,"Resources":{"Limits":{"Cpu":"","Memory":""}},"VolumeMounts":null}],"Volumes":null,"ContainerMeta":[{"Name":"pause_nginx-3","ContainerID":"5ad04a985d31b819eede6d5f82ec01403e2f56c6f0fa6a1119fb49f27bbc107b"},{"Name":"nginx","ContainerID":"2fee15d20cf7ad8e5cf58fb9b184d16e67cbf9ba951626c173fe2ff7d859251d"}]},"IP":"142.16.1.4"},"Status":0,"Node":"b1c31a32-fbbe-11ed-bd8b-fa163ed44415","Replica":3}
[APIServer]20:13:23.140663 podListener.go:96: publish PUT to pods_XXX
[APIServer]20:13:23.142641 podListener.go:110: publish PUT to pods_node
[APIServer]20:13:35.023645 serviceHandler.go:17: apiserver handler: create service
[APIServer]20:13:35.034215 serviceHandler.go:17: apiserver handler: create service
